track_id,valence,arousal
1,4.658419609069824,4.567618599534034
2,4.825996696949005,4.818953862786293
3,4.614713037014008,5.04100734591484
4,5.270247578620911,5.533844894170761
5,5.198676037788392,5.322979038953781
6,5.723511171340943,5.408814197778701
7,4.860430753231049,4.369027113914489
8,5.730584263801576,5.04402077794075
9,5.494388937950135,5.092791265249252
10,5.717328143119812,5.274492537975311
11,5.180452013015747,5.150139456987381
12,4.69336131811142,4.719628384709358
13,4.184298884868622,4.327038204669952
14,4.986895263195038,4.978397077322006
15,4.49032473564148,4.382106563448906
16,5.979078769683839,6.164300745725631
17,5.134109091758728,4.906213796138763
18,5.344607663154602,5.009553438425064
19,5.141840410232544,5.292763358354568
20,5.425496912002564,5.079753851890564
21,5.3936604976654055,5.410616910457611
22,6.3130226850509645,5.551302498579025
23,5.361455655097962,5.50961617231369
24,5.321800374984742,4.690594172477722
25,5.477121043205262,5.057295298576355
26,5.065038323402405,5.58516583442688
27,5.354989314079285,4.975463455915451
28,4.545159339904785,4.7853948533535
29,5.323931503295899,4.819785094261169
30,4.82749330997467,5.059399044513702
